method,dataset,rep,clones,beta,lambdaE,N,pNormal,lambdaDelta,focal,mean_library_size,mean_allelic_coverage,phase_switch,wgd,doublet,hscn_error,tcn_mse,clone_ari,clone_nmi,loh_f1,loh_precision,loh_recall,msr,breakpoint_f1,breakpoint_precision,breakpoint_recall,nrf_distance,tree_coverage,cell_node_match_accuracy,retention_rate
SEACON,beta_0_1_rep42,42,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.50125,NA,0.3286628851195717,0.570475020801565,0.9341242585076491,0.988110964332893,0.8857312018946122,0.8,0.2753623188405797,0.1623931623931624,0.9047619047619048,NA,NA,NA,NA
SEACON,beta_0_1_rep43,43,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.4027272727272727,NA,0.259170565919162,0.5103237951784451,0.8449559918754233,0.9369369369369369,0.7694204685573366,NA,0.6417910447761194,0.5443037974683544,0.7818181818181819,NA,NA,NA,NA
SEACON,beta_0_1_rep44,44,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,1.455774647887324,NA,0.3007217308465112,0.43452484371256683,0.9070772555375474,0.9970308788598575,0.83201189296333,0.6666666666666666,0.38333333333333336,0.24083769633507854,0.9387755102040817,NA,NA,NA,NA
SEACON,beta_0_1_rep45,45,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.4166470588235294,NA,0.6096791165372819,0.6794134468197656,0.8628055494384497,0.9350835322195704,0.8008994276369583,1.0,0.7543859649122807,0.8431372549019608,0.6825396825396826,NA,NA,NA,NA
SEACON,beta_0_1_rep46,46,4,0.1,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,1.0298360655737704,NA,0.5975257012609451,0.7316448907944021,0.6353944562899786,0.9933333333333333,0.4670846394984326,NA,0.7294117647058824,0.6739130434782609,0.7948717948717948,NA,NA,NA,NA
SEACON,beta_0_3_rep42,42,4,0.3,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.568671875,NA,0.5451336458700994,0.6658592118032395,0.9227311042427648,0.9826451226810293,0.8697033898305084,0.42857142857142855,0.28571428571428575,0.16964285714285715,0.9047619047619048,NA,NA,NA,NA
SEACON,beta_0_3_rep43,43,4,0.3,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.7139610389610389,NA,0.18327199255315008,0.39659403136368054,0.8719948018193632,0.9696531791907514,0.7922077922077922,NA,0.6478873239436619,0.5287356321839081,0.8363636363636363,NA,NA,NA,NA
SEACON,beta_0_3_rep44,44,4,0.3,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,1.0633098591549295,NA,0.30516737000610805,0.5030618828044233,0.9075810340208947,0.9912229373902867,0.8369565217391305,0.6666666666666666,0.13202247191011238,0.07088989441930618,0.9591836734693877,NA,NA,NA,NA
SEACON,beta_0_3_rep45,45,4,0.3,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.34511764705882353,NA,0.7414747361125948,0.7659632928209704,0.8741949334478316,0.9356617647058824,0.8203062046736502,1.0,0.7478260869565218,0.8269230769230769,0.6825396825396826,NA,NA,NA,NA
SEACON,beta_0_3_rep46,46,4,0.3,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,1.0077868852459015,NA,0.3885731529513356,0.57090561434837,0.5972369819341127,1.0,0.4257575757575758,NA,0.7654320987654322,0.7380952380952381,0.7948717948717948,NA,NA,NA,NA
