tool,dataset,breakpoint_f1,clone_ari,hscn_error,loh_f1,msr,nrf_distance,tcn_mse,tree_coverage
SCICoNE,amplitude_1_0_rep42,0.4873096446700507,0.8560425234597995,,,,,0.07263157894736842,
SCICoNE,amplitude_1_0_rep43,0.4918032786885245,0.7514114718569395,,,,,0.05747058823529412,
SCICoNE,amplitude_1_0_rep44,0.3745019920318725,1.0,,,,,0.33092307692307693,
SCICoNE,amplitude_1_0_rep45,0.62882096069869,0.9958452683195511,,,,,0.12875,
SCICoNE,amplitude_1_0_rep46,0.39357429718875503,0.8781010989989542,,,,,0.07471428571428572,
SCICoNE,amplitude_4_0_rep42,0.543859649122807,1.0,,,,,0.9666666666666667,
SCICoNE,amplitude_4_0_rep43,0.6605504587155964,0.8754349537508398,,,,,0.2730851063829787,
SCICoNE,amplitude_4_0_rep44,0.5253456221198156,1.0,,,,,0.9088414634146341,
SCICoNE,amplitude_4_0_rep45,0.45643153526970953,1.0,,,,,0.6054347826086957,
SCICoNE,amplitude_4_0_rep46,0.2642857142857143,0.8217455741763163,,,,,1.8473684210526315,
SCICoNE,beta_0_1_rep42,0.37914691943127965,0.7176862653797377,,,,,0.28578125,
SCICoNE,beta_0_1_rep43,0.497737556561086,0.9899502728810694,,,,,0.2405844155844156,
SCICoNE,beta_0_1_rep44,0.4311926605504587,1.0,,,,,0.47330985915492957,
SCICoNE,beta_0_1_rep45,0.47257383966244726,1.0,,,,,0.13976470588235293,
SCICoNE,beta_0_1_rep46,0.2972972972972973,0.79941738361949,,,,,0.3087704918032787,
SCICoNE,beta_0_3_rep42,0.31970260223048325,0.806031717252732,,,,,0.3709375,
SCICoNE,beta_0_3_rep43,0.453781512605042,0.8822309236294911,,,,,0.20844155844155843,
SCICoNE,beta_0_3_rep44,0.43404255319148927,1.0,,,,,0.48795774647887324,
SCICoNE,beta_0_3_rep45,0.4786324786324786,0.9884252947291834,,,,,0.13294117647058823,
SCICoNE,beta_0_3_rep46,0.3349282296650718,0.8026243552959972,,,,,0.35008196721311474,
SCICoNE,beta_0_5_rep42,0.4059405940594059,0.7316969501157877,,,,,0.284765625,
SCICoNE,beta_0_5_rep43,0.15767634854771784,0.8079292875507751,,,,,0.4122077922077922,
SCICoNE,beta_0_5_rep44,0.4607843137254903,1.0,,,,,0.39936619718309857,
SCICoNE,beta_0_5_rep45,0.3969465648854962,1.0,,,,,0.13841176470588235,
SCICoNE,beta_0_5_rep46,0.29310344827586204,0.5742265545651886,,,,,0.3592622950819672,
SCICoNE,cells_500_rep42,0.5728643216080401,0.8827500657480334,,,,,0.40572151898734177,
SCICoNE,cells_500_rep43,0.6938775510204082,0.8504188304378456,,,,,0.18606976744186046,
SCICoNE,cells_500_rep44,0.5887850467289719,1.0,,,,,0.818906976744186,
SCICoNE,cells_500_rep45,0.4299065420560748,1.0,,,,,0.42140298507462687,
SCICoNE,cells_500_rep46,0.3733333333333333,0.8493863508092013,,,,,0.19922388059701493,
SCICoNE,cells_50_rep42,0.5352112676056338,0.799151792057888,,,,,0.5156962025316456,
SCICoNE,cells_50_rep43,0.5411764705882353,0.8289440612170804,,,,,0.18930232558139534,
SCICoNE,cells_50_rep44,0.5080645161290323,0.8519770344310912,,,,,0.8841860465116279,
SCICoNE,cells_50_rep45,0.4761904761904762,1.0,,,,,0.3582089552238806,
SCICoNE,cells_50_rep46,0.31578947368421056,0.9488339714584059,,,,,0.17044776119402985,
SCICoNE,clone_2_rep42,0.3944954128440367,1.0,,,,,0.4042063492063492,
SCICoNE,clone_2_rep43,0.36607142857142855,1.0,,,,,0.5775862068965517,
SCICoNE,clone_2_rep44,0.47567567567567576,1.0,,,,,0.4928571428571429,
SCICoNE,clone_2_rep45,0.39525691699604737,1.0,,,,,0.5084,
SCICoNE,clone_2_rep46,0.22764227642276424,0.9981752436195909,,,,,0.21840425531914895,
SCICoNE,clone_4_rep42,0.4059405940594059,0.7316969501157877,,,,,0.284765625,
SCICoNE,clone_4_rep43,0.4578313253012048,0.8883962214549852,,,,,0.27603896103896103,
SCICoNE,clone_4_rep44,0.4607843137254903,1.0,,,,,0.39936619718309857,
SCICoNE,clone_4_rep45,0.3969465648854962,1.0,,,,,0.13841176470588235,
SCICoNE,clone_4_rep46,0.29310344827586204,0.5742265545651886,,,,,0.3592622950819672,
SCICoNE,clone_8_rep42,0.4014598540145985,0.8666574000546023,,,,,0.18018987341772152,
SCICoNE,clone_8_rep43,0.4166666666666667,0.9264343254199732,,,,,0.08652439024390243,
SCICoNE,clone_8_rep44,0.3565891472868217,0.7063817518504364,,,,,0.1563235294117647,
SCICoNE,clone_8_rep45,0.3967611336032389,0.9014386243309539,,,,,0.15034722222222222,
SCICoNE,clone_8_rep46,0.41295546558704455,0.3635829024471939,,,,,0.3555921052631579,
SCICoNE,events_10_rep42,0.12269938650306751,0.4840533871371376,,,,,0.08424242424242424,
SCICoNE,events_10_rep43,0.2336448598130841,0.8708296838181956,,,,,0.157,
SCICoNE,events_10_rep44,0.17316017316017313,0.9517963210971743,,,,,0.03782051282051282,
SCICoNE,events_10_rep45,0.11235955056179776,0.737684010795144,,,,,0.10388888888888889,
SCICoNE,events_10_rep46,0.15319148936170215,0.7319573207153232,,,,,0.06275,
SCICoNE,events_80_rep42,0.6909090909090909,0.870917368930569,,,,,0.7881386861313868,
SCICoNE,events_80_rep43,0.6713780918727915,0.854435966990095,,,,,0.5229432624113475,
SCICoNE,events_80_rep44,0.746031746031746,1.0,,,,,0.9758461538461538,
SCICoNE,events_80_rep45,0.6992481203007519,1.0,,,,,0.5150393700787401,
SCICoNE,events_80_rep46,0.5577689243027888,0.8416567406758045,,,,,0.2987378640776699,
SCICoNE,focal_0_3_rep42,0.4454976303317536,1.0,,,,,0.429,
SCICoNE,focal_0_3_rep43,0.4800000000000001,0.8796194238043535,,,,,0.3325862068965517,
SCICoNE,focal_0_3_rep44,0.4976958525345622,1.0,,,,,1.156060606060606,
SCICoNE,focal_0_3_rep45,0.5608465608465608,1.0,,,,,0.7223770491803279,
SCICoNE,focal_0_3_rep46,0.37433155080213903,0.7993767013994725,,,,,0.8808333333333334,
SCICoNE,focal_1_0_rep42,0.48962655601659755,0.8818741234301776,,,,,0.31542553191489364,
SCICoNE,focal_1_0_rep43,0.3610108303249097,0.8883962214549852,,,,,0.2985294117647059,
SCICoNE,focal_1_0_rep44,0.3984962406015038,1.0,,,,,0.5595604395604395,
SCICoNE,focal_1_0_rep45,0.5984251968503937,1.0,,,,,0.18615079365079365,
SCICoNE,focal_1_0_rep46,0.3821138211382114,0.6252042960067086,,,,,0.1413095238095238,
SCICoNE,normal_0_0_rep42,0.5572139303482587,0.8619731520368965,,,,,0.46360759493670883,
SCICoNE,normal_0_0_rep43,0.6442307692307692,1.0,,,,,0.22273255813953488,
SCICoNE,normal_0_0_rep44,0.6095238095238096,1.0,,,,,0.8302325581395349,
SCICoNE,normal_0_0_rep45,0.36290322580645157,1.0,,,,,0.40432835820895524,
SCICoNE,normal_0_0_rep46,0.3870967741935483,1.0,,,,,0.10835820895522388,
SCICoNE,normal_0_3_rep42,0.5263157894736842,0.857272071626947,,,,,0.3881012658227848,
SCICoNE,normal_0_3_rep43,0.6388888888888888,0.6667535194095704,,,,,0.14348837209302326,
SCICoNE,normal_0_3_rep44,0.5526315789473685,1.0,,,,,0.7476744186046511,
SCICoNE,normal_0_3_rep45,0.4577114427860696,1.0,,,,,0.2506716417910448,
SCICoNE,normal_0_3_rep46,0.33699633699633696,0.7158637238348329,,,,,0.1355223880597015,
SEACON,amplitude_1_0_rep42,0.14492753623188404,0.32517378380827444,0.7020394736842105,0.8046218487394958,1.0,,,
SEACON,amplitude_1_0_rep43,0.6433566433566433,0.41792268281322775,0.47858823529411765,0.9139987445072192,0.0,,,
SEACON,amplitude_1_0_rep44,0.08735632183908046,0.2731147432388421,1.5478461538461539,0.9215740999162711,1.0,,,
SEACON,amplitude_1_0_rep45,0.6760563380281691,0.715815869220918,0.13423076923076924,0.8942440521872601,0.5,,,
SEACON,amplitude_1_0_rep46,0.0910344827586207,0.38168938966425014,1.0996428571428571,0.889896373056995,1.0,,,
SEACON,amplitude_4_0_rep42,0.19076005961251868,0.6278907939756867,0.6810752688172043,0.902506963788301,0.5,,,
SEACON,amplitude_4_0_rep43,0.7294117647058823,0.5654378278038505,0.461968085106383,0.8837494883340156,0.0,,,
SEACON,amplitude_4_0_rep44,0.20190476190476192,0.3137845419699715,1.7975609756097561,0.8387978142076503,,,,
SEACON,amplitude_4_0_rep45,0.631578947368421,0.4953634735450178,0.7029347826086957,0.8176758306628437,0.6666666666666666,,,
SEACON,amplitude_4_0_rep46,0.6153846153846153,0.5938250941675657,0.7733552631578947,0.7448539971278123,,,,
SEACON,beta_0_1_rep42,0.2753623188405797,0.3286628851195717,0.50125,0.9341242585076491,0.8,,,
SEACON,beta_0_1_rep43,0.6417910447761194,0.259170565919162,0.4027272727272727,0.8449559918754233,,,,
