cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell78	78	3	1	47	74	1	2	3	False
cell78	78	3	2	75	80	1	2	3	False
cell78	78	3	3	81	83	1	2	3	False
cell78	78	3	4	84	86	1	2	3	False
cell78	78	3	5	87	89	1	2	3	False
cell78	78	3	6	90	243	1	2	3	False
cell78	78	3	7	244	497	1	1	2	False
cell79	79	4	0	0	46	1	2	3	False
cell79	79	4	1	47	74	1	2	3	False
cell79	79	4	2	75	80	1	2	3	False
cell79	79	4	3	81	83	1	2	3	False
cell79	79	4	4	84	86	1	2	3	False
cell79	79	4	5	87	89	1	2	3	False
cell79	79	4	6	90	243	1	2	3	False
cell79	79	4	7	244	497	1	1	2	False
cell80	80	3	0	0	46	1	2	3	False
cell80	80	3	1	47	74	1	2	3	False
cell80	80	3	2	75	80	1	2	3	False
cell80	80	3	3	81	83	1	2	3	False
cell80	80	3	4	84	86	1	2	3	False
cell80	80	3	5	87	89	1	2	3	False
cell80	80	3	6	90	243	1	2	3	False
cell80	80	3	7	244	497	1	1	2	False
cell81	81	3	0	0	46	1	2	3	False
cell81	81	3	1	47	74	1	2	3	False
cell81	81	3	2	75	80	1	2	3	False
cell81	81	3	3	81	83	1	2	3	False
cell81	81	3	4	84	86	1	2	3	False
cell81	81	3	5	87	89	1	2	3	False
cell81	81	3	6	90	243	1	2	3	False
cell81	81	3	7	244	497	1	1	2	False
cell82	82	7	0	0	46	1	1	2	False
cell82	82	7	1	47	74	2	1	3	False
cell82	82	7	2	75	80	2	0	2	True
cell82	82	7	3	81	83	1	0	1	True
cell82	82	7	4	84	86	0	0	0	False
cell82	82	7	5	87	89	1	0	1	True
cell82	82	7	6	90	243	1	1	2	False
cell82	82	7	7	244	497	1	1	2	False
cell83	83	4	0	0	46	1	2	3	False
cell83	83	4	1	47	74	1	2	3	False
cell83	83	4	2	75	80	1	2	3	False
cell83	83	4	3	81	83	1	2	3	False
cell83	83	4	4	84	86	1	2	3	False
cell83	83	4	5	87	89	1	2	3	False
cell83	83	4	6	90	243	1	2	3	False
cell83	83	4	7	244	497	1	1	2	False
cell84	84	3	0	0	46	1	2	3	False
cell84	84	3	1	47	74	1	2	3	False
cell84	84	3	2	75	80	1	2	3	False
cell84	84	3	3	81	83	1	2	3	False
cell84	84	3	4	84	86	1	2	3	False
cell84	84	3	5	87	89	1	2	3	False
cell84	84	3	6	90	243	1	2	3	False
cell84	84	3	7	244	497	1	1	2	False
cell85	85	3	0	0	46	1	2	3	False
cell85	85	3	1	47	74	1	2	3	False
cell85	85	3	2	75	80	1	2	3	False
cell85	85	3	3	81	83	1	2	3	False
cell85	85	3	4	84	86	1	2	3	False
cell85	85	3	5	87	89	1	2	3	False
cell85	85	3	6	90	243	1	2	3	False
cell85	85	3	7	244	497	1	1	2	False
cell86	86	3	0	0	46	1	2	3	False
cell86	86	3	1	47	74	1	2	3	False
cell86	86	3	2	75	80	1	2	3	False
cell86	86	3	3	81	83	1	2	3	False
cell86	86	3	4	84	86	1	2	3	False
cell86	86	3	5	87	89	1	2	3	False
cell86	86	3	6	90	243	1	2	3	False
cell86	86	3	7	244	497	1	1	2	False
cell87	87	3	0	0	46	1	2	3	False
cell87	87	3	1	47	74	1	2	3	False
cell87	87	3	2	75	80	1	2	3	False
cell87	87	3	3	81	83	1	2	3	False
cell87	87	3	4	84	86	1	2	3	False
cell87	87	3	5	87	89	1	2	3	False
cell87	87	3	6	90	243	1	2	3	False
cell87	87	3	7	244	497	1	1	2	False
cell88	88	3	0	0	46	1	2	3	False
cell88	88	3	1	47	74	1	2	3	False
cell88	88	3	2	75	80	1	2	3	False
cell88	88	3	3	81	83	1	2	3	False
cell88	88	3	4	84	86	1	2	3	False
cell88	88	3	5	87	89	1	2	3	False
cell88	88	3	6	90	243	1	2	3	False
cell88	88	3	7	244	497	1	1	2	False
cell89	89	8	0	0	46	1	1	2	False
cell89	89	8	1	47	74	2	1	3	False
cell89	89	8	2	75	80	2	0	2	True
cell89	89	8	3	81	83	1	0	1	True
cell89	89	8	4	84	86	0	0	0	False
cell89	89	8	5	87	89	1	0	1	True
cell89	89	8	6	90	243	1	1	2	False
cell89	89	8	7	244	497	1	1	2	False
cell90	90	3	0	0	46	1	2	3	False
cell90	90	3	1	47	74	1	2	3	False
cell90	90	3	2	75	80	1	2	3	False
cell90	90	3	3	81	83	1	2	3	False
cell90	90	3	4	84	86	1	2	3	False
cell90	90	3	5	87	89	1	2	3	False
cell90	90	3	6	90	243	1	2	3	False
cell90	90	3	7	244	497	1	1	2	False
cell91	91	3	0	0	46	1	2	3	False
cell91	91	3	1	47	74	1	2	3	False
cell91	91	3	2	75	80	1	2	3	False
cell91	91	3	3	81	83	1	2	3	False
cell91	91	3	4	84	86	1	2	3	False
cell91	91	3	5	87	89	1	2	3	False
cell91	91	3	6	90	243	1	2	3	False
cell91	91	3	7	244	497	1	1	2	False
cell92	92	4	0	0	46	1	2	3	False
cell92	92	4	1	47	74	1	2	3	False
cell92	92	4	2	75	80	1	2	3	False
cell92	92	4	3	81	83	1	2	3	False
cell92	92	4	4	84	86	1	2	3	False
cell92	92	4	5	87	89	1	2	3	False
cell92	92	4	6	90	243	1	2	3	False
cell92	92	4	7	244	497	1	1	2	False
cell93	93	3	0	0	46	1	2	3	False
cell93	93	3	1	47	74	1	2	3	False
cell93	93	3	2	75	80	1	2	3	False
cell93	93	3	3	81	83	1	2	3	False
cell93	93	3	4	84	86	1	2	3	False
cell93	93	3	5	87	89	1	2	3	False
cell93	93	3	6	90	243	1	2	3	False
cell93	93	3	7	244	497	1	1	2	False
cell94	94	8	0	0	46	1	1	2	False
cell94	94	8	1	47	74	2	1	3	False
cell94	94	8	2	75	80	2	0	2	True
cell94	94	8	3	81	83	1	0	1	True
cell94	94	8	4	84	86	0	0	0	False
cell94	94	8	5	87	89	1	0	1	True
cell94	94	8	6	90	243	1	1	2	False
cell94	94	8	7	244	497	1	1	2	False
cell95	95	4	0	0	46	1	2	3	False
cell95	95	4	1	47	74	1	2	3	False
cell95	95	4	2	75	80	1	2	3	False
cell95	95	4	3	81	83	1	2	3	False
cell95	95	4	4	84	86	1	2	3	False
cell95	95	4	5	87	89	1	2	3	False
cell95	95	4	6	90	243	1	2	3	False
cell95	95	4	7	244	497	1	1	2	False
cell96	96	3	0	0	46	1	2	3	False
cell96	96	3	1	47	74	1	2	3	False
cell96	96	3	2	75	80	1	2	3	False
cell96	96	3	3	81	83	1	2	3	False
cell96	96	3	4	84	86	1	2	3	False
cell96	96	3	5	87	89	1	2	3	False
cell96	96	3	6	90	243	1	2	3	False
cell96	96	3	7	244	497	1	1	2	False
cell97	97	3	0	0	46	1	2	3	False
cell97	97	3	1	47	74	1	2	3	False
cell97	97	3	2	75	80	1	2	3	False
cell97	97	3	3	81	83	1	2	3	False
cell97	97	3	4	84	86	1	2	3	False
cell97	97	3	5	87	89	1	2	3	False
cell97	97	3	6	90	243	1	2	3	False
cell97	97	3	7	244	497	1	1	2	False
cell98	98	8	0	0	46	1	1	2	False
cell98	98	8	1	47	74	2	1	3	False
cell98	98	8	2	75	80	2	0	2	True
cell98	98	8	3	81	83	1	0	1	True
cell98	98	8	4	84	86	0	0	0	False
cell98	98	8	5	87	89	1	0	1	True
cell98	98	8	6	90	243	1	1	2	False
cell98	98	8	7	244	497	1	1	2	False
cell99	99	3	0	0	46	1	2	3	False
cell99	99	3	1	47	74	1	2	3	False
cell99	99	3	2	75	80	1	2	3	False
cell99	99	3	3	81	83	1	2	3	False
cell99	99	3	4	84	86	1	2	3	False
cell99	99	3	5	87	89	1	2	3	False
cell99	99	3	6	90	243	1	2	3	False
cell99	99	3	7	244	497	1	1	2	False
