cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell15	15	3	5	87	89	1	2	3	False
cell15	15	3	6	90	243	1	2	3	False
cell15	15	3	7	244	497	1	1	2	False
cell16	16	3	0	0	46	1	2	3	False
cell16	16	3	1	47	74	1	2	3	False
cell16	16	3	2	75	80	1	2	3	False
cell16	16	3	3	81	83	1	2	3	False
cell16	16	3	4	84	86	1	2	3	False
cell16	16	3	5	87	89	1	2	3	False
cell16	16	3	6	90	243	1	2	3	False
cell16	16	3	7	244	497	1	1	2	False
cell17	17	5	0	0	46	1	1	2	False
cell17	17	5	1	47	74	2	1	3	False
cell17	17	5	2	75	80	2	0	2	True
cell17	17	5	3	81	83	1	0	1	True
cell17	17	5	4	84	86	1	0	1	True
cell17	17	5	5	87	89	1	0	1	True
cell17	17	5	6	90	243	1	1	2	False
cell17	17	5	7	244	497	1	1	2	False
cell18	18	3	0	0	46	1	2	3	False
cell18	18	3	1	47	74	1	2	3	False
cell18	18	3	2	75	80	1	2	3	False
cell18	18	3	3	81	83	1	2	3	False
cell18	18	3	4	84	86	1	2	3	False
cell18	18	3	5	87	89	1	2	3	False
cell18	18	3	6	90	243	1	2	3	False
cell18	18	3	7	244	497	1	1	2	False
cell19	19	3	0	0	46	1	2	3	False
cell19	19	3	1	47	74	1	2	3	False
cell19	19	3	2	75	80	1	2	3	False
cell19	19	3	3	81	83	1	2	3	False
cell19	19	3	4	84	86	1	2	3	False
cell19	19	3	5	87	89	1	2	3	False
cell19	19	3	6	90	243	1	2	3	False
cell19	19	3	7	244	497	1	1	2	False
cell20	20	3	0	0	46	1	2	3	False
cell20	20	3	1	47	74	1	2	3	False
cell20	20	3	2	75	80	1	2	3	False
cell20	20	3	3	81	83	1	2	3	False
cell20	20	3	4	84	86	1	2	3	False
cell20	20	3	5	87	89	1	2	3	False
cell20	20	3	6	90	243	1	2	3	False
cell20	20	3	7	244	497	1	1	2	False
cell21	21	3	0	0	46	1	2	3	False
cell21	21	3	1	47	74	1	2	3	False
cell21	21	3	2	75	80	1	2	3	False
cell21	21	3	3	81	83	1	2	3	False
cell21	21	3	4	84	86	1	2	3	False
cell21	21	3	5	87	89	1	2	3	False
cell21	21	3	6	90	243	1	2	3	False
cell21	21	3	7	244	497	1	1	2	False
cell22	22	3	0	0	46	1	2	3	False
